Date,Open,High,Low,Close,Adj Close,Volume,TSX,TSX_Open,TSX_High,TSX_Low,TSX_Close,TSX_Adj Close,TSX_Volume
18-12-21,4.600000,4.615000,4.260000,4.310000,4.310000,2442900,,14161.799805,14220.900391,13924.400391,13935.400391,13935.400391,614345800
18-12-24,4.250000,4.420000,4.110000,4.310000,4.310000,1860400,,13857.799805,13924.000000,13776.900391,13780.200195,13780.200195,170610500
18-12-27,4.570000,4.590000,4.150000,4.260000,4.260000,2256000,,14018.000000,14165.500000,13918.299805,14165.200195,14165.200195,235414700
18-12-28,4.360000,4.820000,4.250000,4.820000,4.820000,2190400,,14234.200195,14326.900391,14174.000000,14222.000000,14222.000000,266928600
18-12-31,4.900000,4.920000,4.600000,4.710000,4.710000,1480700,,14312.400391,14349.200195,14218.500000,14322.900391,14322.900391,171356600
19-01-02,4.610000,5.230000,4.540000,5.210000,5.210000,2776000,,14163.900391,14400.299805,14112.799805,14347.200195,14347.200195,270319800
19-01-03,5.200000,5.830000,5.050000,5.550000,5.550000,5533800,,14294.099609,14297.900391,14155.299805,14212.799805,14212.799805,211587200
19-01-04,5.700000,5.990000,5.700000,5.810000,5.810000,3740800,,14351.599609,14438.599609,14314.799805,14426.599609,14426.599609,231237200
19-01-07,5.880000,6.390000,5.790000,6.370000,6.370000,5133200,,14471.000000,14515.099609,14383.099609,14504.099609,14504.099609,257832000
19-01-08,6.450000,6.630000,5.880000,6.180000,6.180000,7189700,,14610.500000,14645.599609,14533.900391,14605.200195,14605.200195,260100900
19-01-09,6.150000,6.350000,6.040000,6.300000,6.300000,3255100,,14668.500000,14811.099609,14644.099609,14804.700195,14804.700195,269093100
19-01-10,6.350000,6.550000,6.140000,6.330000,6.330000,4118000,,14770.700195,14921.099609,14702.299805,14903.500000,14903.500000,262984000
19-01-11,6.260000,6.610000,6.180000,6.340000,6.340000,3582100,,14874.200195,14956.200195,14855.200195,14939.200195,14939.200195,249299500
19-01-14,6.340000,6.450000,6.110000,6.210000,6.210000,4395200,,14881.000000,14997.900391,14881.000000,14975.500000,14975.500000,228994500
19-01-15,6.180000,6.290000,6.020000,6.060000,6.060000,2440700,,15002.000000,15079.799805,14966.500000,15046.299805,15046.299805,241300600
19-01-16,6.120000,6.200000,6.010000,6.200000,6.200000,1249300,,15072.299805,15118.299805,15057.000000,15111.299805,15111.299805,248816800
19-01-17,6.190000,6.450000,6.140000,6.410000,6.410000,3305600,,15077.099609,15238.099609,15066.500000,15211.200195,15211.200195,257298500
19-01-18,6.550000,6.950000,6.510000,6.920000,6.920000,6261400,,15295.000000,15325.599609,15258.900391,15303.799805,15303.799805,293702200
19-01-21,7.000000,7.600000,7.000000,7.590000,7.590000,4717500,,15300.400391,15354.200195,15263.000000,15354.200195,15354.200195,92562500
19-01-22,7.100000,7.280000,6.880000,7.070000,7.070000,6943600,,15276.299805,15285.200195,15160.500000,15233.799805,15233.799805,228363300
19-01-23,7.100000,7.330000,6.830000,6.920000,6.920000,4582200,,15275.700195,15293.299805,15141.500000,15208.299805,15208.299805,210174500
19-01-24,6.920000,7.010000,6.690000,6.690000,6.690000,3859900,,15201.500000,15281.299805,15194.299805,15280.799805,15280.799805,206075300
19-01-25,6.790000,6.880000,6.510000,6.770000,6.770000,5825500,,15350.200195,15388.000000,15298.400391,15366.099609,15366.099609,216014400
19-01-28,6.730000,6.980000,6.640000,6.970000,6.970000,4023000,,15289.099609,15378.599609,15276.900391,15378.599609,15378.599609,226010300
19-01-29,7.020000,7.150000,6.760000,6.960000,6.960000,3010800,,15414.700195,15497.400391,15413.900391,15463.099609,15463.099609,233364800
19-01-30,6.830000,7.070000,6.830000,6.940000,6.940000,2599600,,15493.400391,15520.900391,15418.599609,15484.599609,15484.599609,233825500
19-01-31,6.960000,7.490000,6.930000,7.450000,7.450000,6033900,,15507.400391,15564.599609,15486.500000,15540.599609,15540.599609,286422200
19-02-01,7.520000,7.730000,7.400000,7.420000,7.420000,4530700,,15562.299805,15569.000000,15483.400391,15506.299805,15506.299805,224777300
19-02-04,7.590000,7.940000,7.480000,7.790000,7.790000,5685700,,15527.400391,15606.299805,15513.700195,15602.299805,15602.299805,245284400
19-02-05,7.800000,7.870000,7.210000,7.410000,7.410000,3972100,,15631.799805,15702.700195,15627.799805,15702.700195,15702.700195,217732500
19-02-06,7.330000,7.360000,6.750000,7.020000,7.020000,4123900,,15679.900391,15745.400391,15668.599609,15712.299805,15712.299805,218136700
19-02-07,6.870000,7.300000,6.750000,7.250000,7.250000,3022800,,15697.599609,15726.500000,15588.700195,15703.400391,15703.400391,253785300
19-02-08,7.250000,7.300000,7.030000,7.050000,7.050000,2225300,,15648.299805,15659.799805,15567.799805,15633.299805,15633.299805,211877800
19-02-11,7.080000,7.160000,6.710000,6.810000,6.810000,1950900,,15660.500000,15660.500000,15545.900391,15568.900391,15568.900391,193012400
19-02-12,6.630000,7.250000,6.580000,7.250000,7.250000,2866300,,15613.099609,15654.799805,15583.400391,15642.099609,15642.099609,248558800
19-02-13,7.280000,7.440000,7.120000,7.240000,7.240000,2257400,,15679.200195,15689.700195,15623.700195,15626.700195,15626.700195,236823500
19-02-14,7.220000,7.230000,7.080000,7.180000,7.180000,990300,,15622.299805,15733.099609,15608.200195,15696.000000,15696.000000,305833800
19-02-15,7.290000,7.440000,7.190000,7.390000,7.390000,2482300,,15770.000000,15866.599609,15763.400391,15838.200195,15838.200195,255717300
19-02-19,7.410000,7.500000,7.340000,7.500000,7.500000,2088000,,15856.900391,15953.900391,15831.900391,15937.400391,15937.400391,336230800
19-02-20,7.560000,7.880000,7.530000,7.880000,7.880000,3869000,,15942.900391,16036.900391,15942.900391,16031.200195,16031.200195,268328500
19-02-21,7.920000,8.090000,7.630000,7.750000,7.750000,3570100,,16001.900391,16030.700195,15979.700195,16000.900391,16000.900391,298529700
19-02-22,7.860000,7.890000,7.550000,7.750000,7.750000,1709300,,16038.400391,16071.000000,15997.400391,16013.000000,16013.000000,222858800
19-02-25,7.650000,7.730000,7.380000,7.480000,7.480000,2212000,,16051.000000,16099.900391,16051.000000,16057.000000,16057.000000,219234400
19-02-26,7.460000,7.690000,7.340000,7.430000,7.430000,2692000,,16051.000000,16115.799805,16051.000000,16067.900391,16067.900391,266318500
19-02-27,7.440000,7.450000,7.230000,7.380000,7.380000,1934800,,16043.799805,16077.599609,15990.299805,16074.299805,16074.299805,226354300
19-02-28,7.400000,7.520000,7.380000,7.520000,7.520000,1327900,,16054.799805,16067.000000,15975.099609,15999.000000,15999.000000,304602900
19-03-01,7.580000,7.580000,7.450000,7.500000,7.500000,1046800,,16086.299805,16122.099609,16058.099609,16068.299805,16068.299805,243003500
19-03-04,7.410000,7.450000,7.130000,7.380000,7.380000,2036000,,16088.599609,16093.500000,15955.000000,16038.099609,16038.099609,286358000
19-03-05,7.330000,7.380000,7.220000,7.290000,7.290000,1626200,,16077.299805,16105.299805,16068.599609,16086.500000,16086.500000,256504000
19-03-06,7.280000,7.380000,7.220000,7.310000,7.310000,1331500,,16098.700195,16145.799805,16077.599609,16092.099609,16092.099609,272531800
19-03-07,7.320000,7.350000,6.990000,7.010000,7.010000,2122900,,16079.000000,16085.400391,15981.799805,16056.500000,16056.500000,271719200
19-03-08,6.880000,7.300000,6.850000,7.230000,7.230000,2149100,,15958.099609,16000.799805,15891.900391,15996.200195,15996.200195,255412900
19-03-11,7.240000,7.430000,7.240000,7.410000,7.410000,2562200,,16028.099609,16131.900391,16028.099609,16106.200195,16106.200195,250342300
19-03-12,7.470000,7.630000,7.360000,7.400000,7.400000,3087600,,16142.599609,16149.000000,16099.599609,16136.700195,16136.700195,229111500
19-03-13,7.650000,7.990000,7.570000,7.830000,7.830000,6226700,,16193.099609,16212.599609,16143.500000,16150.000000,16150.000000,271091300
19-03-14,8.360000,8.400000,8.050000,8.110000,8.110000,8150500,,16139.400391,16144.500000,16083.099609,16087.599609,16087.599609,196598800
19-03-15,8.200000,8.250000,8.080000,8.100000,8.100000,9188900,,16156.700195,16174.500000,16123.799805,16140.400391,16140.400391,635539200
19-03-18,8.200000,8.960000,8.200000,8.910000,8.910000,8990400,,16149.099609,16251.400391,16148.299805,16251.400391,16251.400391,231369100
19-03-19,9.390000,9.700000,9.050000,9.200000,9.200000,10507900,,16275.299805,16275.299805,16188.099609,16188.099609,16188.099609,250958500
19-03-20,9.200000,9.260000,8.830000,8.950000,8.950000,5057000,,16168.200195,16214.700195,16118.000000,16167.599609,16167.599609,261723000
19-03-21,8.950000,9.120000,8.750000,9.040000,9.040000,2962600,,16148.799805,16266.500000,16146.400391,16244.599609,16244.599609,254945500
19-03-22,9.110000,9.110000,8.430000,8.520000,8.520000,3990800,,16172.900391,16185.400391,16043.900391,16089.299805,16089.299805,325520900
19-03-25,8.450000,8.630000,8.150000,8.390000,8.390000,3603100,,16066.299805,16113.200195,16021.000000,16065.900391,16065.900391,234398100
19-03-26,8.560000,9.080000,8.520000,9.080000,9.080000,5077500,,16138.900391,16192.200195,16116.700195,16155.200195,16155.200195,242530400
19-03-27,9.030000,9.220000,8.350000,8.550000,8.550000,6219500,,16147.400391,16187.400391,16079.099609,16132.500000,16132.500000,244631900
19-03-28,8.520000,8.750000,8.350000,8.670000,8.670000,3126000,,16094.099609,16173.200195,16094.099609,16155.500000,16155.500000,223248900
19-03-29,8.760000,8.895000,8.680000,8.830000,8.830000,2120400,,16200.299805,16212.700195,16081.099609,16102.099609,16102.099609,227955800
19-04-01,9.070000,9.080000,8.860000,9.010000,9.010000,2329300,,16187.900391,16228.099609,16153.599609,16228.099609,16228.099609,233225700
19-04-02,8.970000,9.010000,8.740000,8.890000,8.890000,1679100,,16240.400391,16263.900391,16194.900391,16263.900391,16263.900391,178277900
